"Method","log_rank_p","C_index"
"CNV_Methylation",0.32184,0.46694
"CNV_Methylation_MIR",0.23457,0.56836
"CNV_Methylation_MIR_PRO",0.54923,0.42109
"CNV_Methylation_MIR_PRO_RNA",0.67632,0.58059
"CNV_Methylation_MIR_RNA",0.19271,0.41851
"CNV_Methylation_PRO",0.93818,0.50018
"CNV_Methylation_PRO_RNA",0.9888,0.50186
"CNV_Methylation_RNA",0.89821,0.49462
"CNV_MIR",0.47476,0.50335
"CNV_MIR_PRO",0.67992,0.51897
"CNV_MIR_PRO_RNA",0.73797,0.59778
"CNV_MIR_RNA",0.92051,0.5044
"CNV_PRO",0.94162,0.54594
"CNV_PRO_RNA",0.92175,0.50221
"CNV_RNA",0.79188,0.4049
"Methylation_MIR",0.076,0.40673
"Methylation_MIR_PRO",0.16017,0.54368
"Methylation_MIR_PRO_RNA",0.3692,0.5218
"Methylation_MIR_RNA",0.21338,0.54583
"Methylation_PRO",0.37172,0.55687
"Methylation_PRO_RNA",0.49077,0.5201
"Methylation_RNA",0.0119,0.39101
"MIR_PRO",0.71502,0.52038
"MIR_PRO_RNA",0.03292,0.33263
"MIR_RNA",0.41072,0.54713
"PRO_RNA",0.7065,0.54593
