"Combination","NMI","NMI2","ARI","Accuracy","MacroF1","LabelFile","NumClusters"
"CNV+Methylation",0.315587670760028,0.343167952981042,0.266170775879685,0.145956607495069,0.188519003181782,"/data1/zxr/BRCA/SNFresults/Labels_CNV_Methylation.csv",5
"CNV+MIR",0.320446588780934,0.334297522228124,0.277318914243998,0.0532544378698225,0.0818728250970153,"/data1/zxr/BRCA/SNFresults/Labels_CNV_MIR.csv",5
"CNV+PRO",0.315620025329976,0.331490326090312,0.26402555264083,0.238658777120316,0.264461199222362,"/data1/zxr/BRCA/SNFresults/Labels_CNV_PRO.csv",5
"CNV+RNA",0.333698664294047,0.362990608442897,0.254837196111934,0.187376725838264,0.177030550637955,"/data1/zxr/BRCA/SNFresults/Labels_CNV_RNA.csv",5
"Methylation+MIR",0.321743334736429,0.34806863206109,0.256470375497626,0.0631163708086785,0.0958351675963616,"/data1/zxr/BRCA/SNFresults/Labels_Methylation_MIR.csv",5
"Methylation+PRO",0.297742375613849,0.320763841748899,0.281960632541285,0.291913214990138,0.199641173022141,"/data1/zxr/BRCA/SNFresults/Labels_Methylation_PRO.csv",5
"Methylation+RNA",0.34228363205291,0.369898414739542,0.277712127699132,0.106508875739645,0.179566142555299,"/data1/zxr/BRCA/SNFresults/Labels_Methylation_RNA.csv",5
"MIR+PRO",0.251951862402055,0.275348307771173,0.206530694752593,0.126232741617357,0.146033205495467,"/data1/zxr/BRCA/SNFresults/Labels_MIR_PRO.csv",5
"MIR+RNA",0.328482755093144,0.356070822120541,0.268160873736769,0.526627218934911,0.562055796864792,"/data1/zxr/BRCA/SNFresults/Labels_MIR_RNA.csv",5
"PRO+RNA",0.291823658202852,0.308591430944142,0.265026519613664,0.134122287968442,0.114816208036572,"/data1/zxr/BRCA/SNFresults/Labels_PRO_RNA.csv",5
"CNV+Methylation+MIR",0.338116078597455,0.367766655910851,0.276853054601302,0.0867850098619329,0.111400303554853,"/data1/zxr/BRCA/SNFresults/Labels_CNV_Methylation_MIR.csv",5
"CNV+Methylation+PRO",0.325511049231952,0.35300398946847,0.274895234365239,0.0946745562130177,0.1083598331252,"/data1/zxr/BRCA/SNFresults/Labels_CNV_Methylation_PRO.csv",5
"CNV+Methylation+RNA",0.38349166723779,0.412356068782993,0.328386265231344,0.0729783037475345,0.0681145171439239,"/data1/zxr/BRCA/SNFresults/Labels_CNV_Methylation_RNA.csv",5
"CNV+MIR+PRO",0.320561260793444,0.348621429135717,0.259894215450738,0.234714003944773,0.272683032155195,"/data1/zxr/BRCA/SNFresults/Labels_CNV_MIR_PRO.csv",5
"CNV+MIR+RNA",0.341095696841556,0.372103449091318,0.260904461450546,0.175542406311637,0.202280920538184,"/data1/zxr/BRCA/SNFresults/Labels_CNV_MIR_RNA.csv",5
"CNV+PRO+RNA",0.327337701520838,0.355097026880414,0.279197008998885,0.0966469428007889,0.110420958493169,"/data1/zxr/BRCA/SNFresults/Labels_CNV_PRO_RNA.csv",5
"Methylation+MIR+PRO",0.301798422851912,0.326817892983748,0.265953042218692,0.260355029585799,0.19019036343857,"/data1/zxr/BRCA/SNFresults/Labels_Methylation_MIR_PRO.csv",5
"Methylation+MIR+RNA",0.329405466061605,0.356397475068452,0.286755447900108,0.171597633136095,0.299877652461239,"/data1/zxr/BRCA/SNFresults/Labels_Methylation_MIR_RNA.csv",5
"Methylation+PRO+RNA",0.33529446365127,0.361525538639515,0.316092124250968,0.2465483234714,0.177586887520676,"/data1/zxr/BRCA/SNFresults/Labels_Methylation_PRO_RNA.csv",5
"MIR+PRO+RNA",0.354411694440193,0.382309367163801,0.298636619069755,0.0532544378698225,0.0914302028205659,"/data1/zxr/BRCA/SNFresults/Labels_MIR_PRO_RNA.csv",5
"CNV+Methylation+MIR+PRO",0.340900561054344,0.370455175613727,0.285550072806593,0.232741617357002,0.271707189391729,"/data1/zxr/BRCA/SNFresults/Labels_CNV_Methylation_MIR_PRO.csv",5
"CNV+Methylation+MIR+RNA",0.358672872020106,0.391189830066215,0.27953566635183,0.0512820512820513,0.116347249157147,"/data1/zxr/BRCA/SNFresults/Labels_CNV_Methylation_MIR_RNA.csv",5
"CNV+Methylation+PRO+RNA",0.315629490965122,0.343675780160212,0.259016660625433,0.122287968441815,0.117450467159937,"/data1/zxr/BRCA/SNFresults/Labels_CNV_Methylation_PRO_RNA.csv",5
"CNV+MIR+PRO+RNA",0.335868576118711,0.365034089343716,0.293596653837679,0.0867850098619329,0.10099766463764,"/data1/zxr/BRCA/SNFresults/Labels_CNV_MIR_PRO_RNA.csv",5
"Methylation+MIR+PRO+RNA",0.338725841678913,0.366160007345246,0.307422927311427,0.282051282051282,0.303817434302912,"/data1/zxr/BRCA/SNFresults/Labels_Methylation_MIR_PRO_RNA.csv",5
"CNV+Methylation+MIR+PRO+RNA",0.34655166097012,0.376190874465421,0.294257922602675,0.268244575936884,0.314142955213672,"/data1/zxr/BRCA/SNFresults/Labels_CNV_Methylation_MIR_PRO_RNA.csv",5
