Omics_Combination,ER,PR,HER2,Stage,T_stage,N_stage,M_stage,Age
CNV_Methylation,1.0192496001475533e-26,3.412928857868566e-17,0.013925111083171082,0.28365596550475375,0.012817793397319444,0.06668938083859079,0.21529630703922042,0.7159152318192484
CNV_Methylation_MIR,1.8407407288997966e-26,7.368961662885817e-18,2.022811244933544e-5,0.03356437584638932,0.016258811992017713,0.03752252982417556,0.1605722553171059,0.30174370410495255
CNV_Methylation_MIR_PRO,3.015242589012937e-28,6.858133567143343e-18,6.843600510252237e-5,0.1485566510518637,0.024849432471343934,0.09107999821273084,0.1739990739151068,0.17850558574876266
CNV_Methylation_MIR_PRO_RNA,1.82377981274977e-28,1.5549990774468929e-18,1.355975929708617e-4,0.25889333124335145,0.041663116553459736,0.32001155910107865,0.20140128020626785,0.09195301833362528
CNV_Methylation_MIR_RNA,2.8043691339279207e-27,3.4787899566856703e-19,2.3167535764815037e-6,0.06324042082713568,0.05969880272543407,0.023884479740964536,0.13448836054834157,0.013326551918044643
CNV_Methylation_PRO,2.2796192633927356e-27,5.4073896776916995e-17,9.480660621237634e-4,0.2480782142887349,0.2022839372628808,0.1891989305807905,0.21529630703922042,0.5074187543375526
CNV_Methylation_PRO_RNA,7.310187495482729e-28,3.1657201232797186e-18,6.593952992526575e-4,0.08827219099871417,0.08595489496212706,0.22505907119623514,0.13448836054834157,0.09481842287924536
CNV_Methylation_RNA,6.401740471431311e-31,2.4602200239419947e-19,7.384715401187031e-5,0.03913152741510952,0.11118025820145833,0.15607198375346548,0.14738641489088786,0.030655760290898774
CNV_MIR,5.1219479990252175e-25,1.8518642147635087e-15,0.0010728746155672588,0.2563745757951496,0.49094963468615066,0.19736342423580858,0.285352362965299,0.26777490974612816
CNV_MIR_PRO,1.2767751798628328e-26,3.151372506535621e-17,1.8589435839036123e-4,0.3438999134837896,0.21187241704291876,0.06184194651591144,0.2432942057340709,0.06172293958033022
CNV_MIR_PRO_RNA,4.492854894728743e-28,1.241649730383677e-18,2.8495160749367605e-4,0.2943609653011877,0.3375771452835754,0.3363271190389189,0.21529630703922042,0.29389079443437965
CNV_MIR_RNA,2.0915966816389033e-26,1.2413342847040338e-17,1.3779139764344603e-5,0.1285216540623437,0.19372464836010334,0.05833004903979669,0.27136118448734303,0.004451701106206961
CNV_PRO,1.2493851290151113e-23,3.99844403802026e-14,5.361015397502377e-5,0.553076893714395,0.8509023767138935,0.17226823136912078,0.34052346355088625,0.8348253274893581
CNV_PRO_RNA,7.021995678648981e-28,2.806121998192875e-17,4.307586234155575e-5,0.06000849423380142,0.03241336698512245,0.27547359298048846,0.20140128020626785,0.4049681634341122
CNV_RNA,2.7107001686734437e-25,2.3921808176537155e-15,2.7119357240188764e-6,0.027975056384453224,0.3308142190442143,0.05137553808172381,0.13448836054834157,0.15475015804186415
Methylation_MIR,6.731608660793484e-30,4.3978798556709344e-20,0.015415294199928705,0.3323586480886603,2.3479679060879935e-4,0.1097527503280542,0.3673919304906466,0.11817336725462972
Methylation_MIR_PRO,1.6088463251721314e-30,1.0551007631605086e-19,0.0021736791509904567,0.6719934384242323,0.03112683588047757,0.18416139419779293,0.8098208700529648,0.130009220134936
Methylation_MIR_PRO_RNA,1.0722325656399938e-31,1.4190345154384381e-19,0.0072742583416190425,0.7962605847332334,0.0018441662367620804,0.38965830785098354,0.7855896977325879,0.47100417097752256
Methylation_MIR_RNA,9.061919556488106e-31,3.658693986757898e-19,0.0012832011989377871,0.8326792750830121,0.006426608033538546,0.2919697389889809,0.7906598309051526,0.6300095236660469
Methylation_PRO,5.716792468507118e-28,4.0279128439007157e-17,4.332217860402967e-4,0.18666710074862397,0.0014017412706068511,0.2978729930942039,0.61327930770144,0.16481051966730936
Methylation_PRO_RNA,7.869502624122114e-32,2.3247056945861768e-19,0.0038288282582561862,0.3783913382618007,0.12250587938748032,0.48479372529938297,0.7526150704968944,0.1879714076265318
Methylation_RNA,1.1489428028765588e-30,1.7404166111058025e-20,0.011333290623163442,0.3772499853465182,0.006546686592010859,0.2816349855468813,0.4316994953017646,0.02187054708822407
MIR_PRO,1.0489225949947175e-23,3.5602022542225004e-15,0.07380581803091046,0.27114231043019804,0.4165376749840532,0.4134891492287755,0.09802115495817017,0.2642674034518031
MIR_PRO_RNA,8.282192722324722e-28,2.1846223570507724e-18,2.4342402228302465e-5,0.3099134258098794,0.2652596999825025,0.08987072936035957,0.818764369422284,0.013763378910149157
MIR_RNA,2.2418557619871732e-26,4.159893759712637e-18,4.169095458230482e-6,0.6139079755284139,0.22922330036561944,0.05155588953677519,0.8230851890452335,0.00197664626544174
PRO_RNA,2.538353539094544e-27,1.8026821962879684e-17,0.0013011530626837464,0.3090177839805762,0.3177696238054129,0.13959791363375487,0.7906598309051526,0.8833351770311602
