Omics_Combination,Significant_Discrete,Significant_Continuous,Total_Significant
CNV_Methylation,4,0,4
CNV_Methylation_MIR,6,0,6
CNV_Methylation_MIR_PRO,4,0,4
CNV_Methylation_MIR_PRO_RNA,4,0,4
CNV_Methylation_MIR_RNA,4,1,5
CNV_Methylation_PRO,3,0,3
CNV_Methylation_PRO_RNA,3,0,3
CNV_Methylation_RNA,4,1,5
CNV_MIR,3,0,3
CNV_MIR_PRO,3,0,3
CNV_MIR_PRO_RNA,3,0,3
CNV_MIR_RNA,3,1,4
CNV_PRO,3,0,3
CNV_PRO_RNA,4,0,4
CNV_RNA,4,0,4
Methylation_MIR,4,0,4
Methylation_MIR_PRO,4,0,4
Methylation_MIR_PRO_RNA,4,0,4
Methylation_MIR_RNA,4,0,4
Methylation_PRO,4,0,4
Methylation_PRO_RNA,3,0,3
Methylation_RNA,4,1,5
MIR_PRO,2,0,2
MIR_PRO_RNA,3,1,4
MIR_RNA,3,1,4
PRO_RNA,3,0,3
